year,oni_annual,nao_annual,nao_djf,pna_annual,amo_annual
1856,,,,,0.22008333333333333
1857,,,,,0.0007500000000000007
1858,,,,,0.027166666666666662
1859,,,,,0.03766666666666666
1860,,,,,0.10399999999999998
1861,,,,,0.2004166666666667
1862,,,,,-0.17925
1863,,,,,-0.09658333333333334
1864,,,,,0.07991666666666666
1865,,,,,0.18541666666666667
1866,,,,,0.22
1867,,,,,0.15833333333333335
1868,,,,,0.17025
1869,,,,,0.111
1870,,,,,0.03366666666666667
1871,,,,,0.04633333333333334
1872,,,,,0.10841666666666666
1873,,,,,0.0625
1874,,,,,-0.0068333333333333345
1875,,,,,0.04883333333333332
1876,,,,,-0.008833333333333334
1877,,,,,0.25425000000000003
1878,,,,,0.4650833333333333
1879,,,,,0.13733333333333334
1880,,,,,0.07408333333333333
1881,,,,,0.05350000000000003
1882,,,,,-0.015333333333333332
1883,,,,,-0.022416666666666668
1884,,,,,-0.06633333333333334
1885,,,,,-0.015416666666666669
1886,,,,,0.13158333333333333
1887,,,,,0.12933333333333333
1888,,,,,0.20266666666666666
1889,,,,,0.20491666666666666
1890,,,,,-0.13783333333333334
1891,,,,,0.04075000000000001
1892,,,,,-0.08591666666666666
1893,,,,,-8.33333333333311e-05
1894,,,,,-0.23858333333333334
1895,,,,,-0.09000000000000001
1896,,,,,0.11083333333333334
1897,,,,,0.11383333333333334
1898,,,,,0.07791666666666666
1899,,,,,0.13075
1900,,,,,0.09991666666666665
1901,,,,,0.09083333333333334
1902,,,,,-0.0994166666666667
1903,,,,,-0.19091666666666665
1904,,,,,-0.3459166666666667
1905,,,,,-0.20125
1906,,,,,-0.07208333333333333
1907,,,,,-0.22616666666666665
1908,,,,,-0.12925
1909,,,,,-0.13666666666666666
1910,,,,,-0.24750000000000005
1911,,,,,-0.21366666666666667
1912,,,,,-0.22833333333333336
1913,,,,,-0.38833333333333336
1914,,,,,-0.2909166666666667
1915,,,,,0.09250000000000001
1916,,,,,-0.07758333333333332
1917,,,,,-0.28108333333333335
1918,,,,,-0.2624166666666667
1919,,,,,-0.18858333333333333
1920,,,,,-0.3380833333333333
1921,,,,,-0.2233333333333333
1922,,,,,-0.32341666666666663
1923,,,,,-0.3276666666666667
1924,,,,,-0.15641666666666668
1925,,,,,-0.16358333333333336
1926,,,,,0.08116666666666668
1927,,,,,0.10533333333333332
1928,,,,,-0.01066666666666667
1929,,,,,-0.11674999999999998
1930,,,,,0.005499999999999994
1931,,,,,0.17275
1932,,,,,0.22225000000000003
1933,,,,,0.1865
1934,,,,,-0.01425
1935,,,,,0.010916666666666663
1936,,,,,0.14275000000000002
1937,,,,,0.28575
1938,,,,,0.23266666666666666
1939,,,,,0.10008333333333332
1940,,,,,-0.03908333333333334
1941,,,,,0.16383333333333333
1942,,,,,0.17283333333333337
1943,,,,,0.021749999999999995
1944,,,,,0.3373333333333333
1945,,,,,0.20758333333333334
1946,,,,,0.006083333333333334
1947,,,,,-0.09850000000000003
1948,,,,,-0.0015833333333333342
1949,,,,,0.07725
1950,-0.86,-0.12083333333333335,0.66,-0.6425000000000001,-0.023749999999999993
1951,0.43083333333333335,-0.00833333333333336,0.38999999999999996,-0.17,0.18733333333333335
1952,0.17416666666666666,-0.425,0.050000000000000044,0.09250000000000003,0.27858333333333335
1953,0.7133333333333334,-0.01749999999999996,-0.07999999999999999,0.5399999999999999,0.2474166666666667
1954,-0.4008333333333334,0.00250000000000003,0.5549999999999999,-0.2191666666666667,0.02575
1955,-0.9483333333333334,-0.3991666666666667,-1.48,-0.7124999999999999,0.1749166666666667
1956,-0.5775,-0.044166666666666715,-0.67,-0.4483333333333333,-0.037166666666666674
1957,0.9608333333333334,-0.19583333333333328,0.5800000000000001,-0.04249999999999995,0.022166666666666668
1958,0.8325,-0.5891666666666667,-0.8,0.73,0.19516666666666668
1959,0.13666666666666666,0.35250000000000004,-0.09499999999999997,0.2025,0.03341666666666667
1960,0.06833333333333333,-0.4099999999999999,-1.5899999999999999,0.5874999999999999,0.21566666666666667
1961,-0.016666666666666666,0.043333333333333335,0.43,0.07249999999999995,0.0795
1962,-0.215,-0.3416666666666666,0.5800000000000001,-0.25750000000000006,0.051583333333333335
