year,pwat_eastern_us,pwat_southeast_us,pwat_northeast_us,pwat_gulf_coast
1948,24.604875564575195,31.39948272705078,18.299270629882812,33.46156692504883
1949,24.93836212158203,30.851890563964844,19.320405960083008,33.103580474853516
1950,23.758317947387695,29.196395874023438,18.4787540435791,31.12803840637207
1951,24.36370086669922,30.07082176208496,18.78523826599121,32.29425811767578
1952,23.675329208374023,29.757200241088867,18.111352920532227,31.458852767944336
1953,24.218149185180664,30.35896110534668,18.794038772583008,32.102237701416016
1954,23.82404136657715,28.865638732910156,18.36916160583496,30.54407501220703
1955,23.911916732788086,29.238296508789062,18.34902000427246,31.323503494262695
1956,23.26055908203125,28.710180282592773,17.942270278930664,29.94182586669922
1957,24.46587371826172,31.020780563354492,18.01046371459961,32.67109298706055
1958,23.86872673034668,30.124954223632812,17.242399215698242,32.41265869140625
1959,24.84037971496582,31.91474151611328,18.588573455810547,33.77204132080078
1960,23.23444175720215,29.166933059692383,17.040328979492188,31.0602970123291
1961,23.087120056152344,28.721933364868164,17.825246810913086,30.49151039123535
1962,22.9599666595459,28.93634605407715,16.679433822631836,30.23487091064453
1963,22.709096908569336,28.364072799682617,16.32850456237793,29.95157814025879
1964,22.963226318359375,29.40827751159668,16.749935150146484,31.209794998168945
1965,22.602880477905273,28.60279083251953,16.3123722076416,31.043684005737305
1966,22.615455627441406,28.67559051513672,16.678274154663086,30.75593376159668
1967,22.37957763671875,28.112829208374023,16.859113693237305,29.7314395904541
1968,22.441429138183594,27.39019775390625,17.20436668395996,29.455368041992188
1969,23.13776206970215,28.3763427734375,17.574085235595703,30.581214904785156
1970,22.860595703125,27.869285583496094,17.787687301635742,29.746267318725586
1971,22.72403907775879,28.079179763793945,17.477340698242188,30.081436157226562
1972,23.039016723632812,28.361894607543945,17.582353591918945,30.442358016967773
1973,23.4384708404541,28.977949142456055,18.27351951599121,30.901153564453125
1974,22.300127029418945,27.966997146606445,16.986587524414062,29.753936767578125
1975,22.6296443939209,28.41817283630371,17.339323043823242,30.348283767700195
1976,21.456960678100586,26.659408569335938,16.186071395874023,28.75401496887207
1977,22.88398551940918,27.94745635986328,17.248327255249023,29.638185501098633
1978,22.55314826965332,28.24077796936035,16.42420196533203,30.372446060180664
1979,22.869430541992188,28.787673950195312,17.763673782348633,30.324951171875
1980,22.5295467376709,28.266502380371094,16.824783325195312,29.816877365112305
1981,22.587854385375977,27.451034545898438,16.93212127685547,29.929445266723633
1982,23.654203414916992,30.05278968811035,17.595613479614258,31.730131149291992
1983,23.202499389648438,28.347318649291992,17.80442237854004,30.002721786499023
1984,22.893266677856445,27.864439010620117,17.87424087524414,29.772132873535156
1985,23.624923706054688,29.621252059936523,17.757808685302734,31.626649856567383
1986,24.008522033691406,30.032180786132812,18.07178497314453,32.00089645385742
1987,23.514266967773438,28.922895431518555,17.778085708618164,30.440567016601562
1988,22.794240951538086,28.34672737121582,17.179534912109375,30.564041137695312
1989,23.201108932495117,29.2425594329834,17.646160125732422,30.843521118164062
1990,23.82853126525879,29.378786087036133,18.43570899963379,31.336748123168945
1991,24.62415313720703,31.182464599609375,18.469467163085938,33.16792678833008
1992,23.33301544189453,29.53182029724121,17.182035446166992,31.483705520629883
1993,23.725160598754883,29.471786499023438,17.805944442749023,31.29496955871582
1994,24.17223358154297,30.670541763305664,17.808847427368164,32.84933853149414
1995,23.90861701965332,30.24333953857422,17.72532081604004,32.14536666870117
1996,23.250083923339844,28.962690353393555,17.698610305786133,30.677574157714844
1997,23.89539337158203,30.58124542236328,16.992136001586914,32.764930725097656
1998,24.322189331054688,30.254743576049805,18.34856414794922,32.066436767578125
1999,22.781564712524414,28.221237182617188,17.41349983215332,29.91132926940918
2000,22.608116149902344,27.245689392089844,17.320205688476562,29.035913467407227
2001,23.370697021484375,28.686996459960938,17.411602020263672,30.615659713745117
2002,24.12093162536621,30.121213912963867,17.983322143554688,31.951492309570312
2003,23.745847702026367,29.30417823791504,18.0385684967041,31.335180282592773
2004,23.664548873901367,29.195650100708008,17.917024612426758,31.192466735839844
2005,24.049753189086914,29.717788696289062,18.07990264892578,31.25282859802246
2006,23.682357788085938,28.78216552734375,18.154035568237305,31.13544464111328
2007,24.128084182739258,29.60059928894043,17.707443237304688,32.009300231933594
2008,22.982589721679688,28.340307235717773,17.525114059448242,30.325653076171875
2009,23.586984634399414,29.51311683654785,17.665254592895508,31.53513526916504
2010,23.092453002929688,27.670846939086914,17.970182418823242,29.56586456298828
2011,23.169052124023438,28.264005661010742,18.44502830505371,29.411611557006836
2012,23.651573181152344,28.985742568969727,18.336408615112305,30.926549911499023
2013,23.908796310424805,30.252161026000977,18.020780563354492,32.58161544799805
2014,23.60521125793457,29.197769165039062,17.826265335083008,31.227216720581055
2015,25.13317108154297,31.663314819335938,18.50320816040039,33.795169830322266
2016,24.398828506469727,29.766191482543945,18.325700759887695,32.2586784362793
2017,24.28388214111328,29.970170974731445,18.566940307617188,32.2414665222168
2018,24.94475746154785,31.044021606445312,19.11945915222168,32.981651306152344
2019,24.655607223510742,30.80126190185547,18.05067253112793,33.306339263916016
2020,24.394594192504883,31.037973403930664,18.438554763793945,33.3620491027832
2021,24.33869171142578,29.8668212890625,18.778902053833008,32.50510787963867
2022,24.322168350219727,30.39130973815918,18.332548141479492,32.40830612182617
2023,25.031265258789062,31.227827072143555,18.37797737121582,33.66688919067383
2024,25.300485610961914,31.96879768371582,18.914152145385742,34.73497772216797
2025,24.64353370666504,30.340402603149414,18.224212646484375,32.515262603759766
2026,13.94742202758789,18.571401596069336,7.975998878479004,20.45873260498047
