year,sst_north_atlantic,sst_gulf_stream,sst_gulf_mexico,sst_tropical_north_atl
1854,21.054346084594727,19.877317428588867,27.015485763549805,26.25798225402832
1855,21.009843826293945,19.92335319519043,26.892763137817383,26.461599349975586
1856,20.826175689697266,19.046308517456055,26.724197387695312,26.30291175842285
1857,20.763452529907227,19.319807052612305,26.367685317993164,26.123003005981445
1858,20.743898391723633,19.218406677246094,26.44481086730957,26.228858947753906
1859,20.917627334594727,19.562131881713867,26.426713943481445,26.349592208862305
1860,20.941110610961914,19.543733596801758,26.35026741027832,26.28118133544922
1861,20.8922176361084,19.814844131469727,27.29088592529297,26.155622482299805
1862,20.580095291137695,19.37114906311035,26.25639533996582,26.222169876098633
1863,20.6914119720459,19.875688552856445,26.58061981201172,25.685495376586914
1864,20.909839630126953,19.647964477539062,26.561172485351562,25.87544059753418
1865,20.991743087768555,20.197032928466797,26.032852172851562,26.45575523376465
1866,21.01226043701172,20.251523971557617,26.52337646484375,26.129852294921875
1867,20.950931549072266,19.531923294067383,26.196794509887695,26.473215103149414
1868,20.932870864868164,19.995569229125977,26.89042854309082,26.114564895629883
1869,20.89912986755371,19.41750717163086,26.235551834106445,26.000829696655273
1870,20.925016403198242,19.573383331298828,26.610336303710938,26.148099899291992
1871,20.869781494140625,19.566722869873047,26.90052604675293,26.0870304107666
1872,20.764156341552734,19.33510971069336,26.611112594604492,25.826095581054688
1873,20.82166862487793,19.425207138061523,26.67864418029785,26.141828536987305
1874,20.867149353027344,19.511083602905273,26.888525009155273,26.0640926361084
1875,20.928308486938477,19.4231014251709,27.010129928588867,26.335891723632812
1876,20.92738914489746,19.533369064331055,26.39439582824707,26.370710372924805
1877,21.332263946533203,19.6021728515625,27.24896240234375,26.73480796813965
1878,21.428129196166992,19.36418342590332,26.328216552734375,27.055335998535156
1879,21.079423904418945,19.227903366088867,26.60441780090332,26.676048278808594
1880,20.974729537963867,19.699575424194336,26.947782516479492,26.37578010559082
1881,20.9635009765625,19.17852020263672,26.452924728393555,26.627159118652344
1882,20.82415199279785,19.445362091064453,26.928564071655273,26.208662033081055
1883,20.67066764831543,19.367128372192383,26.271392822265625,25.96454620361328
1884,20.57282066345215,19.51152229309082,26.453752517700195,25.90619468688965
1885,20.741838455200195,19.428621292114258,26.694854736328125,26.19173240661621
1886,20.96187400817871,19.461387634277344,25.849172592163086,26.54987335205078
1887,20.874780654907227,19.389066696166992,26.1273136138916,26.331632614135742
1888,20.848224639892578,18.936952590942383,26.24462127685547,26.349218368530273
